Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8
ENSG00000188976,NOC2L,41,-0.5714,121,1.28249,102,0.95851,32,-0.9327,59,0.01971,45,-0.4238,35,-0.8001,32,-0.9485
ENSG00000188290,HES4,127,0.60387,200,1.44070,97,0.13592,62,-0.5788,66,-0.4955,18,-2.4712,117,0.45491,27,-1.8409
ENSG00000187608,ISG15,237,1.66240,139,0.64095,26,-1.9881,21,-2.2711,89,-0.1027,96,0.01578,57,-0.8129,94,-0.0118
ENSG00000078808,SDF4,174,0.69033,140,0.31546,125,0.11348,57,-1.1301,53,-1.2406,185,0.79239,131,0.19380,66,-0.9069
ENSG00000176022,B3GALT6,5,-2.3552,57,1.40553,47,1.07115,7,-2.0250,30,0.26842,24,-0.0967,28,0.16818,6,-2.1808
ENSG00000160087,UBE2J2,5,-3.0977,53,0.37536,53,0.36864,30,-0.5475,36,-0.2574,88,1.27582,45,0.09119,29,-0.5906
ENSG00000131584,ACAP3,5,-2.8609,52,0.61210,36,-0.0199,28,-0.3904,56,0.76005,37,0.03878,37,0.06090,37,0.02951
ENSG00000127054,INTS11,5,-3.2889,103,1.32921,39,-0.3452,50,0.05998,38,-0.3825,80,0.85214,39,-0.3699,34,-0.5761
ENSG00000224051,CPTP,82,1.54791,33,-0.0660,40,0.25378,20,-0.8796,15,-1.2576,30,-0.1993,18,-0.9883,37,0.10888
ENSG00000107404,DVL1,5,-3.2949,65,0.48903,51,0.08121,28,-0.8677,65,0.48846,66,0.50264,69,0.59526,40,-0.3316
ENSG00000175756,AURKAIP1,124,-0.3227,168,0.17681,132,-0.2143,97,-0.7071,115,-0.4440,274,1.03712,135,-0.1808,163,0.12396
ENSG00000221978,CCNL2,5,-3.1570,23,-1.0222,55,0.34523,17,-1.5079,42,-0.0978,137,2.12700,48,0.11730,28,-0.6982
ENSG00000242485,MRPL20,73,-1.0363,147,0.08326,177,0.38945,63,-1.2642,54,-1.4815,246,0.97630,223,0.79369,138,-0.0250
ENSG00000179403,VWA1,118,1.32554,4,-3.7431,2,-4.8211,68,0.32599,60,0.11717,46,-0.3118,133,1.55249,16,-1.9259
ENSG00000160075,SSU72,83,-1.1615,295,0.91677,197,0.21319,115,-0.6651,151,-0.2308,275,0.78661,163,-0.1083,110,-0.7243
ENSG00000228594,FNDC10,126,0.98252,118,0.85198,156,1.37945,18,-2.0782,77,0.11657,2,-5.0392,24,-1.6724,51,-0.5330
ENSG00000197530,MIB2,5,-3.0981,40,-0.0863,45,0.08591,10,-2.1871,57,0.48368,86,1.24515,55,0.43873,41,-0.0504
ENSG00000008130,NADK,99,1.78370,25,-0.6100,37,0.00470,16,-1.2938,21,-0.8890,66,0.98376,25,-0.6159,8,-2.3566
ENSG00000078369,GNB1,230,-0.4575,440,0.62069,439,0.61919,187,-0.7808,223,-0.5055,345,0.20305,358,0.26839,218,-0.5392
ENSG00000067606,PRKCZ,5,-4.6853,201,0.78034,280,1.40613,67,-1.0199,191,0.69364,131,0.05093,57,-1.2713,86,-0.6293
ENSG00000162585,FAAP20,6,-3.4476,102,0.97740,25,-1.2841,44,-0.4619,37,-0.7039,118,1.24934,71,0.32434,61,0.09392
