Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5
ENSG00000196262,PPIA,52,-3.7869,312,-1.0843,141,-2.3195,1263,1.57012,1195,1.43301
ENSG00000106153,CHCHD2,52,-2.8549,311,-0.0188,103,-1.8335,589,1.26440,515,0.96466
ENSG00000009954,BAZ1B,53,-1.2457,12,-3.4141,167,0.77220,208,1.24545,118,0.09162
ENSG00000263001,GTF2I,54,-2.5453,174,-0.7096,146,-0.9991,144,-1.0234,797,2.61899
ENSG00000005486,RHBDD2,52,-2.4017,15,-4.2099,57,-2.2513,322,0.62694,709,2.66398
ENSG00000106211,HSPB1,52,-2.4365,382,0.93336,76,-1.8474,107,-1.3208,563,1.86590
ENSG00000075142,SRI,52,-1.6364,12,-3.7590,117,-0.3280,32,-2.3632,491,3.18840
ENSG00000127914,AKAP9,54,-2.1223,12,-4.2731,257,0.47135,375,1.26884,299,0.77484
ENSG00000105854,PON2,52,-2.3224,13,-4.3747,47,-2.4729,584,2.16859,407,1.22111
ENSG00000106261,ZKSCAN1,53,-1.7217,12,-3.8616,118,-0.4292,222,0.74170,348,1.77592
ENSG00000166925,TSC22D4,56,-2.2702,13,-4.4431,309,0.55914,23,-3.5759,746,2.89082
ENSG00000214253,FIS1,54,-2.4523,610,1.96233,88,-1.6933,135,-1.0184,347,0.64625
ENSG00000005483,KMT2E,54,-1.9131,293,1.00540,154,-0.2293,233,0.53932,141,-0.3781
ENSG00000128567,PODXL,53,-3.7820,12,-5.8604,39,-4.1985,2733,5.48850,137,-2.3663
ENSG00000122786,CALD1,53,-3.3693,575,0.46324,105,-2.3459,1436,2.82694,75,-2.8420
ENSG00000064393,HIPK2,53,-3.4363,207,-1.3875,940,1.39157,539,0.23428,633,0.54194
