Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000183291,SELENOF,10,-4.2539,131,-0.4911,157,-0.2292,239,0.48915,28,-2.7925,93,-1.0225,335,1.08026,452,1.65062
ENSG00000143013,LMO4,10,-3.9969,0,-7.8496,55,-1.6805,128,-0.2450,91,-0.7697,128,-0.2387,335,1.40969,539,2.42128
ENSG00000122406,RPL5,432,-0.1528,307,-0.6907,339,-0.5987,700,0.64555,153,-1.7515,443,-0.1136,335,-0.5556,1229,1.68745
ENSG00000117528,ABCD3,10,-3.1843,38,-1.2667,71,-0.3366,52,-0.7869,19,-2.2685,110,0.41604,335,2.62631,62,-0.5009
ENSG00000117519,CNN3,10,-4.2007,0,-8.0503,28,-2.9125,192,0.18190,65,-1.4955,193,0.19570,335,1.14804,692,2.69546
ENSG00000170989,S1PR1,139,0.65788,0,-7.1823,18,-2.6746,146,0.74410,47,-1.0799,140,0.66154,335,2.38954,1,-6.1338
ENSG00000085433,WDR47,10,-3.4912,184,0.94561,144,0.61069,46,-1.2670,14,-3.0018,68,-0.6910,335,2.12606,1,-6.2991
ENSG00000197780,TAF13,10,-3.6221,59,-1.0469,156,0.59041,153,0.46897,57,-1.0862,108,-0.0952,335,1.93111,1,-6.4285
ENSG00000031698,SARS,838,2.19338,352,0.53189,239,-0.1196,136,-0.9925,38,-2.8740,121,-1.1647,335,0.44735,1,-7.5785
ENSG00000143126,CELSR2,10,-3.2565,191,1.30743,36,-1.5060,127,0.57912,61,-0.6055,7,-3.7158,335,2.50381,1,-6.0656
ENSG00000134243,SORT1,10,-4.3326,288,0.71423,90,-1.2529,377,1.19778,104,-0.9294,75,-1.4196,335,0.98157,321,0.90407
ENSG00000116337,AMPD2,10,-3.6067,250,1.36184,159,0.65309,50,-1.2891,10,-3.5557,51,-1.2573,335,1.95442,1,-6.4130
ENSG00000134202,GSTM3,10,-4.3376,291,0.72743,131,-0.6415,170,-0.1693,45,-2.1893,149,-0.3707,335,0.97632,434,1.45583
ENSG00000168710,AHCYL1,983,0.94599,85,-2.8652,96,-2.8432,578,0.04519,303,-0.9741,851,0.69303,335,-0.8169,1734,2.05804
ENSG00000197106,SLC6A17,10,-3.8928,420,1.94508,213,0.78806,34,-2.2111,17,-3.1762,46,-1.7381,335,1.48463,1,-6.7461
ENSG00000116396,KCNC4,10,-3.6353,144,0.34935,150,0.49425,47,-1.4012,20,-2.6300,87,-0.4589,335,1.91157,102,-0.2102
ENSG00000134248,LAMTOR5,10,-3.9628,188,0.42402,201,0.63030,213,0.63368,36,-2.1365,93,-0.7022,335,1.45611,32,-2.2863
