gene_id	HVG_rank	gene_name
ENSG00000014138	9133	POLA2
ENSG00000014164	8691	ZC3H3
ENSG00000014257	12457	ACPP
ENSG00000014641	465	MDH1
ENSG00000014824	12827	SLC30A9
ENSG00000014914	10640	MTMR11
ENSG00000015133	4833	CCDC88C
ENSG00000015153	2280	YAF2
ENSG00000015171	784	ZMYND11
ENSG00000015475	5231	BID
ENSG00000015479	12004	MATR3
ENSG00000015532	5063	XYLT2
ENSG00000015568	8469	RGPD5
ENSG00000015592	176	STMN4
ENSG00000016082	9857	ISL1
ENSG00000016391	2608	CHDH
ENSG00000016402	10725	IL20RA
ENSG00000016602	2751	CLCA4
ENSG00000017427	6157	IGF1
ENSG00000017483	850	SLC38A5
ENSG00000017797	1339	RALBP1
ENSG00000018280	6123	SLC11A1
ENSG00000018408	2017	WWTR1
ENSG00000018510	6694	AGPS
ENSG00000018625	104	ATP1A2
ENSG00000018869	8798	ZNF582
ENSG00000019102	6443	VSIG2
ENSG00000019144	307	PHLDB1
ENSG00000019169	10655	MARCO
ENSG00000019485	5340	PRDM11
ENSG00000019582	94	CD74
ENSG00000019991	10280	HGF
ENSG00000020181	2646	ADGRA2
ENSG00000020426	2407	MNAT1
ENSG00000020577	356	SAMD4A
ENSG00000020633	7958	RUNX3
ENSG00000020922	5272	MRE11
ENSG00000021300	112	PLEKHB1
ENSG00000021574	2945	SPAST
ENSG00000021776	4600	AQR
ENSG00000021826	5846	CPS1
ENSG00000022277	1564	RTF2
ENSG00000022355	311	GABRA1
ENSG00000022567	5299	SLC45A4
ENSG00000022840	7277	RNF10
ENSG00000023191	1440	RNH1
ENSG00000023287	590	RB1CC1
ENSG00000023516	1608	AKAP11
ENSG00000023608	7282	SNAPC1
ENSG00000023697	4950	DERA
ENSG00000024048	8570	UBR2
ENSG00000024422	1471	EHD2
ENSG00000024526	10096	DEPDC1
ENSG00000025039	6396	RRAGD
ENSG00000025293	1907	PHF20
ENSG00000025423	6404	HSD17B6
ENSG00000025434	8809	NR1H3
ENSG00000025770	11837	NCAPH2
ENSG00000025796	1505	SEC63
ENSG00000026025	137	VIM
ENSG00000026297	3066	RNASET2
ENSG00000026508	620	CD44
ENSG00000026652	413	AGPAT4
ENSG00000026950	4390	BTN3A1
ENSG00000027075	2758	PRKCH
ENSG00000027644	12363	INSRR
ENSG00000027697	1264	IFNGR1
ENSG00000027869	9226	SH2D2A
ENSG00000028116	3808	VRK2
ENSG00000028137	3891	TNFRSF1B
ENSG00000028277	3185	POU2F2
ENSG00000028310	1416	BRD9
ENSG00000028528	934	SNX1
ENSG00000029363	8744	BCLAF1
ENSG00000029534	3811	ANK1
ENSG00000029639	4608	TFB1M
ENSG00000029725	1169	RABEP1
ENSG00000030066	4073	NUP160
ENSG00000030110	4193	BAK1
ENSG00000030419	4659	IKZF2
ENSG00000031081	2605	ARHGAP31
ENSG00000031691	4767	CENPQ
ENSG00000031823	8148	RANBP3
ENSG00000032219	1864	ARID4A
ENSG00000032742	4843	IFT88
ENSG00000033030	4849	ZCCHC8
ENSG00000033122	5643	LRRC7
ENSG00000033170	1483	FUT8
ENSG00000033178	2575	UBA6
ENSG00000033327	772	GAB2
ENSG00000033867	4011	SLC4A7
ENSG00000034053	1284	APBA2
ENSG00000034510	107	TMSB10
ENSG00000035115	2309	SH3YL1
ENSG00000035499	12335	DEPDC1B
ENSG00000035664	4540	DAPK2
ENSG00000035687	4323	ADSS
ENSG00000035862	1602	TIMP2
ENSG00000035928	936	RFC1
ENSG00000036054	2866	TBC1D23
ENSG00000036448	10115	MYOM2
ENSG00000036549	2352	AC118549.1
ENSG00000036672	3802	USP2
ENSG00000036828	12620	CASR
ENSG00000037280	5924	FLT4
ENSG00000037757	2961	MRI1
ENSG00000037965	10623	HOXC8
ENSG00000038002	4267	AGA
ENSG00000038210	5628	PI4K2B
ENSG00000038219	577	BOD1L1
ENSG00000038382	4747	TRIO
ENSG00000038427	470	VCAN
ENSG00000038945	9737	MSR1
ENSG00000039068	9789	CDH1
ENSG00000039123	9177	MTREX
ENSG00000039319	429	ZFYVE16
ENSG00000039523	9231	RIPOR1
ENSG00000039560	1109	RAI14
ENSG00000040275	5309	SPDL1
ENSG00000040531	6918	CTNS
ENSG00000040633	11361	PHF23
ENSG00000041802	6561	LSG1
ENSG00000041982	2216	TNC
ENSG00000042062	5374	RIPOR3
ENSG00000042286	10193	AIFM2
ENSG00000042304	13103	C2orf83
ENSG00000042429	3652	MED17
ENSG00000042445	1774	RETSAT
ENSG00000042980	5599	ADAM28
ENSG00000043093	2392	DCUN1D1
ENSG00000043355	4139	ZIC2
ENSG00000043591	6298	ADRB1
ENSG00000044115	453	CTNNA1
ENSG00000044446	5799	PHKA2
ENSG00000044459	6206	CNTLN
ENSG00000044524	6300	EPHA3
ENSG00000046647	7291	GEMIN8
ENSG00000046651	2375	OFD1
ENSG00000046653	25	GPM6B
ENSG00000046889	587	PREX2
ENSG00000047230	4486	CTPS2
ENSG00000047346	2851	FAM214A
ENSG00000047365	661	ARAP2
ENSG00000047410	739	TPR
ENSG00000047457	7520	CP
ENSG00000047578	5898	KIAA0556
ENSG00000047579	5030	DTNBP1
ENSG00000047621	4490	C12orf4
ENSG00000047634	9838	SCML1
ENSG00000047644	2132	WWC3
ENSG00000047662	2366	FAM184B
ENSG00000047849	2081	MAP4
ENSG00000048028	5283	USP28
ENSG00000048052	6315	HDAC9
ENSG00000048405	4287	ZNF800
ENSG00000048462	10146	TNFRSF17
ENSG00000048471	3117	SNX29
ENSG00000048649	567	RSF1
ENSG00000048707	2994	VPS13D
ENSG00000048740	3649	CELF2
ENSG00000048828	2054	FAM120A
ENSG00000048991	4448	R3HDM1
ENSG00000049089	388	COL9A2
ENSG00000049167	12478	ERCC8
ENSG00000049192	9538	ADAMTS6
ENSG00000049239	1679	H6PD
ENSG00000049245	534	VAMP3
ENSG00000049246	2206	PER3
ENSG00000049247	12168	UTS2
ENSG00000049249	8921	TNFRSF9
ENSG00000049283	9928	EPN3
ENSG00000049323	4847	LTBP1
ENSG00000049449	9608	RCN1
ENSG00000049540	4992	ELN
ENSG00000049618	1246	ARID1B
ENSG00000049768	8937	FOXP3
ENSG00000050327	5890	ARHGEF5
ENSG00000050344	7363	NFE2L3
ENSG00000050405	2723	LIMA1
ENSG00000050555	5031	LAMC3
ENSG00000050628	4666	PTGER3
ENSG00000050730	6655	TNIP3
ENSG00000050767	6415	COL23A1
ENSG00000051108	2631	HERPUD1
ENSG00000051128	2201	HOMER3
ENSG00000051523	2613	CYBA
ENSG00000051825	6371	MPHOSPH9
ENSG00000052126	7742	PLEKHA5
ENSG00000052795	2134	FNIP2
ENSG00000053254	1868	FOXN3
ENSG00000053372	3192	MRTO4
ENSG00000053438	2099	NNAT
ENSG00000053501	2964	USE1
ENSG00000053702	4305	NRIP2
ENSG00000053747	5687	LAMA3
ENSG00000053770	7525	AP5M1
ENSG00000053900	7974	ANAPC4
ENSG00000053918	11627	KCNQ1
ENSG00000054118	3082	THRAP3
ENSG00000054148	2566	PHPT1
ENSG00000054219	8657	LY75
ENSG00000054267	460	ARID4B
ENSG00000054282	898	SDCCAG8
ENSG00000054392	8916	HHAT
ENSG00000054598	2956	FOXC1
ENSG00000054654	2645	SYNE2
ENSG00000054690	187	PLEKHH1
ENSG00000054965	1329	FAM168A
ENSG00000054967	5215	RELT
ENSG00000054983	3817	GALC
ENSG00000055044	2492	NOP58
ENSG00000055070	2349	SZRD1
ENSG00000055208	5091	TAB2
ENSG00000055211	1964	GINM1
ENSG00000055483	3841	USP36
ENSG00000055609	719	KMT2C
ENSG00000055813	8012	CCDC85A
ENSG00000055917	2171	PUM2
ENSG00000055950	3135	MRPL43
ENSG00000055955	8085	ITIH4
ENSG00000056050	7563	HPF1
ENSG00000056097	2521	ZFR
ENSG00000056487	6089	PHF21B
ENSG00000056558	5452	TRAF1
ENSG00000056586	2285	RC3H2
ENSG00000056736	4095	IL17RB
ENSG00000056972	6133	TRAF3IP2
ENSG00000057294	8943	PKP2
ENSG00000057657	6147	PRDM1
ENSG00000057704	1663	TMCC3
ENSG00000058272	883	PPP1R12A
ENSG00000058335	4133	RASGRF1
ENSG00000058404	2594	CAMK2B
ENSG00000058600	7579	POLR3E
ENSG00000058673	8676	ZC3H11A
ENSG00000058804	5297	NDC1
ENSG00000058866	3735	DGKG
ENSG00000059122	5609	FLYWCH1
ENSG00000059145	8796	UNKL
ENSG00000059378	5897	PARP12
ENSG00000059573	6813	ALDH18A1
ENSG00000059588	7165	TARBP1
ENSG00000059691	1362	GATB
ENSG00000059728	6560	MXD1
ENSG00000059758	5008	CDK17
ENSG00000060069	5584	CTDP1
ENSG00000060138	1637	YBX3
ENSG00000060237	105	WNK1
ENSG00000060339	815	CCAR1
ENSG00000060491	9282	OGFR
ENSG00000060656	5790	PTPRU
ENSG00000060688	7094	SNRNP40
ENSG00000060718	3195	COL11A1
ENSG00000060749	3334	QSER1
ENSG00000060762	615	MPC1
ENSG00000060971	3548	ACAA1
ENSG00000061273	2059	HDAC7
ENSG00000061337	5052	LZTS1
ENSG00000061455	5877	PRDM6
ENSG00000061492	14040	WNT8A
ENSG00000061936	2757	SFSWAP
ENSG00000061938	1664	TNK2
ENSG00000061987	2417	MON2
ENSG00000062038	9964	CDH3
ENSG00000062096	12464	ARSF
ENSG00000062194	2318	GPBP1
ENSG00000062370	5607	ZNF112
ENSG00000062524	13304	LTK
ENSG00000062598	8794	ELMO2
ENSG00000062650	3369	WAPL
ENSG00000062725	10011	APPBP2
ENSG00000063046	1102	EIF4B
ENSG00000063169	13065	BICRA
ENSG00000063177	2479	RPL18
ENSG00000063180	1223	CA11
ENSG00000063244	4952	U2AF2
ENSG00000063322	3560	MED29
ENSG00000063438	12715	AHRR
ENSG00000063587	8428	ZNF275
ENSG00000063601	3894	MTMR1
ENSG00000063660	1818	GPC1
ENSG00000063978	2445	RNF4
ENSG00000064042	171	LIMCH1
ENSG00000064102	2292	INTS13
ENSG00000064205	9916	CCN5
ENSG00000064225	11666	ST3GAL6
ENSG00000064270	7938	ATP2C2
ENSG00000064300	2223	NGFR
ENSG00000064309	10436	CDON
ENSG00000064393	51	HIPK2
ENSG00000064419	7596	TNPO3
ENSG00000064490	2791	RFXANK
ENSG00000064547	11331	LPAR2
ENSG00000064651	125	SLC12A2
ENSG00000064652	2272	SNX24
ENSG00000064655	11617	EYA2
ENSG00000064666	4318	CNN2
ENSG00000064687	6882	ABCA7
ENSG00000064787	16	BCAS1
ENSG00000064886	4292	CHI3L2
ENSG00000064932	4596	SBNO2
ENSG00000064961	4012	HMG20B
ENSG00000064989	5755	CALCRL
ENSG00000064995	3411	TAF11
ENSG00000065029	4160	ZNF76
ENSG00000065054	867	SLC9A3R2
ENSG00000065057	7656	NTHL1
ENSG00000065060	5830	UHRF1BP1
ENSG00000065135	8349	GNAI3
ENSG00000065150	4258	IPO5
ENSG00000065243	2998	PKN2
ENSG00000065268	5310	WDR18
ENSG00000065308	7604	TRAM2
ENSG00000065320	4966	NTN1
ENSG00000065328	13364	MCM10
ENSG00000065361	339	ERBB3
ENSG00000065413	4131	ANKRD44
ENSG00000065457	4144	ADAT1
ENSG00000065491	5000	TBC1D22B
ENSG00000065526	1034	SPEN
ENSG00000065534	264	MYLK
ENSG00000065600	655	PACC1
ENSG00000065613	1873	SLK
ENSG00000065615	5645	CYB5R4
ENSG00000065618	10342	COL17A1
ENSG00000065621	13067	GSTO2
ENSG00000065675	4328	PRKCQ
ENSG00000065717	2224	TLE2
ENSG00000065802	3419	ASB1
ENSG00000065809	231	FAM107B
ENSG00000065882	7313	TBC1D1
ENSG00000065883	2044	CDK13
ENSG00000065911	5111	MTHFD2
ENSG00000065970	4783	FOXJ2
ENSG00000065978	872	YBX1
ENSG00000066027	1590	PPP2R5A
ENSG00000066044	5743	ELAVL1
ENSG00000066056	2258	TIE1
ENSG00000066084	512	DIP2B
ENSG00000066117	2990	SMARCD1
ENSG00000066279	12048	ASPM
ENSG00000066294	4458	CD84
ENSG00000066322	179	ELOVL1
ENSG00000066379	8443	ZNRD1
ENSG00000066422	4807	ZBTB11
ENSG00000066427	2139	ATXN3
ENSG00000066455	4306	GOLGA5
ENSG00000066468	95	FGFR2
ENSG00000066651	4060	TRMT11
ENSG00000066654	3607	THUMPD1
ENSG00000066697	7561	MSANTD3
ENSG00000066739	8066	ATG2B
ENSG00000066777	9058	ARFGEF1
ENSG00000066813	11970	ACSM2B
ENSG00000066855	5457	MTFR1
ENSG00000066926	4589	FECH
ENSG00000066933	3256	MYO9A
ENSG00000067066	1959	SP100
ENSG00000067082	915	KLF6
ENSG00000067113	1960	PLPP1
ENSG00000067141	1183	NEO1
ENSG00000067167	3092	TRAM1
ENSG00000067182	2706	TNFRSF1A
ENSG00000067208	2332	EVI5
ENSG00000067248	6021	DHX29
ENSG00000067365	5366	METTL22
ENSG00000067533	5458	RRP15
ENSG00000067560	1317	RHOA
ENSG00000067704	5336	IARS2
ENSG00000067715	126	SYT1
ENSG00000067798	5471	NAV3
ENSG00000067836	509	ROGDI
ENSG00000067840	3862	PDZD4
ENSG00000067900	714	ROCK1
ENSG00000067955	3941	CBFB
ENSG00000068001	1135	HYAL2
ENSG00000068024	4797	HDAC4
ENSG00000068028	3550	RASSF1
ENSG00000068078	274	FGFR3
ENSG00000068079	2695	IFI35
ENSG00000068097	7912	HEATR6
ENSG00000068137	6384	PLEKHH3
ENSG00000068305	2827	MEF2A
ENSG00000068323	3123	TFE3
ENSG00000068383	8735	INPP5A
ENSG00000068400	3373	GRIPAP1
ENSG00000068489	8865	PRR11
ENSG00000068650	1926	ATP11A
ENSG00000068654	7465	POLR1A
ENSG00000068697	2056	LAPTM4A
ENSG00000068724	5816	TTC7A
ENSG00000068781	11571	STON1-GTF2A1L
ENSG00000068784	6945	SRBD1
ENSG00000068796	3077	KIF2A
ENSG00000068831	6993	RASGRP2
ENSG00000068878	2462	PSME4
ENSG00000068885	4402	IFT80
ENSG00000068903	108	SIRT2
ENSG00000068976	1583	PYGM
ENSG00000069011	13334	PITX1
ENSG00000069020	2228	MAST4
ENSG00000069122	848	ADGRF5
ENSG00000069188	6148	SDK2
ENSG00000069275	941	NUCKS1
ENSG00000069424	9793	KCNAB2
ENSG00000069431	5518	ABCC9
ENSG00000069493	7392	CLEC2D
ENSG00000069667	2680	RORA
ENSG00000069696	10023	DRD4
ENSG00000069764	12946	PLA2G10
ENSG00000069869	6629	NEDD4
ENSG00000069974	3319	RAB27A
ENSG00000070018	2842	LRP6
ENSG00000070031	8737	SCT
ENSG00000070047	5675	PHRF1
ENSG00000070081	1904	NUCB2
ENSG00000070190	9315	DAPP1
ENSG00000070193	11108	FGF10
ENSG00000070214	89	SLC44A1
ENSG00000070367	8071	EXOC5
ENSG00000070404	6595	FSTL3
ENSG00000070476	3922	ZXDC
ENSG00000070495	5148	JMJD6
ENSG00000070526	3063	ST6GALNAC1
ENSG00000070540	3907	WIPI1
ENSG00000070614	1271	NDST1
ENSG00000070731	13553	ST6GALNAC2
ENSG00000070756	207	PABPC1
ENSG00000070759	2165	TESK2
ENSG00000070770	4837	CSNK2A2
ENSG00000070778	4017	PTPN21
ENSG00000070814	1658	TCOF1
ENSG00000070961	1347	ATP2B1
ENSG00000070985	14004	TRPM5
ENSG00000071051	3766	NCK2
ENSG00000071054	97	MAP4K4
ENSG00000071205	5929	ARHGAP10
ENSG00000071242	1084	RPS6KA2
ENSG00000071243	6292	ING3
ENSG00000071246	1776	VASH1
ENSG00000071282	3209	LMCD1
ENSG00000071537	1806	SEL1L
ENSG00000071539	9289	TRIP13
ENSG00000071564	8624	TCF3
ENSG00000071575	2989	TRIB2
ENSG00000071626	2883	DAZAP1
ENSG00000071655	1062	MBD3
ENSG00000071859	5865	FAM50A
ENSG00000071889	2344	FAM3A
ENSG00000071967	1337	CYBRD1
ENSG00000071991	2468	CDH19
ENSG00000072042	3059	RDH11
ENSG00000072071	1180	ADGRL1
ENSG00000072110	6902	ACTN1
ENSG00000072121	5070	ZFYVE26
ENSG00000072134	565	EPN2
ENSG00000072135	3514	PTPN18
ENSG00000072163	1460	LIMS2
ENSG00000072182	6169	ASIC4
ENSG00000072195	9712	SPEG
ENSG00000072210	3320	ALDH3A2
ENSG00000072310	2169	SREBF1
ENSG00000072415	1662	MPP5
ENSG00000072422	3545	RHOBTB1
ENSG00000072501	1155	SMC1A
ENSG00000072518	2927	MARK2
ENSG00000072571	9300	HMMR
ENSG00000072609	6672	CHFR
ENSG00000072694	11450	FCGR2B
ENSG00000072736	4533	NFATC3
ENSG00000072778	11620	ACADVL
ENSG00000072786	4425	STK10
ENSG00000072803	3803	FBXW11
ENSG00000072840	10779	EVC
ENSG00000072849	4064	DERL2
ENSG00000072864	1377	NDE1
ENSG00000072952	432	MRVI1
ENSG00000072954	3776	TMEM38A
ENSG00000073050	6565	XRCC1
ENSG00000073060	1276	SCARB1
ENSG00000073146	11635	MOV10L1
ENSG00000073169	2270	SELENOO
ENSG00000073331	8575	ALPK1
ENSG00000073350	5135	LLGL2
ENSG00000073417	691	PDE8A
ENSG00000073584	4816	SMARCE1
ENSG00000073605	12022	GSDMB
ENSG00000073614	1655	KDM5A
ENSG00000073670	3874	ADAM11
ENSG00000073711	2296	PPP2R3A
ENSG00000073712	1363	FERMT2
ENSG00000073737	9375	DHRS9
ENSG00000073754	14023	CD5L
ENSG00000073803	1567	MAP3K13
ENSG00000073849	1905	ST6GAL1
ENSG00000073861	13489	TBX21
ENSG00000073921	548	PICALM
ENSG00000073969	1036	NSF
ENSG00000074047	12338	GLI2
ENSG00000074054	3614	CLASP1
ENSG00000074181	475	NOTCH3
ENSG00000074211	1167	PPP2R2C
ENSG00000074219	10765	TEAD2
ENSG00000074266	4686	EED
ENSG00000074317	1934	SNCB
ENSG00000074356	1465	NCBP3
ENSG00000074370	7065	ATP2A3
ENSG00000074410	3745	CA12
ENSG00000074416	617	MGLL
ENSG00000074527	4288	NTN4
ENSG00000074582	5432	BCS1L
ENSG00000074590	2533	NUAK1
ENSG00000074603	4649	DPP8
ENSG00000074621	5550	SLC24A1
ENSG00000074657	1375	ZNF532
ENSG00000074660	4667	SCARF1
ENSG00000074695	3134	LMAN1
ENSG00000074706	5629	IPCEF1
ENSG00000074755	2404	ZZEF1
ENSG00000074855	7426	ANO8
ENSG00000074935	3204	TUBE1
ENSG00000075043	2207	KCNQ2
ENSG00000075073	7915	TACR2
ENSG00000075131	8243	TIPIN
ENSG00000075142	2135	SRI
ENSG00000075218	11441	GTSE1
ENSG00000075223	2116	SEMA3C
ENSG00000075240	10270	GRAMD4
ENSG00000075292	1132	ZNF638
ENSG00000075336	3947	TIMM21
ENSG00000075391	4154	RASAL2
ENSG00000075407	2178	ZNF37A
ENSG00000075413	5752	MARK3
ENSG00000075426	3233	FOSL2
ENSG00000075461	8711	CACNG4
ENSG00000075539	609	FRYL
ENSG00000075568	3164	TMEM131
ENSG00000075618	591	FSCN1
ENSG00000075643	11634	MOCOS
ENSG00000075651	1530	PLD1
ENSG00000075711	477	DLG1
ENSG00000075790	2717	BCAP29
ENSG00000075891	6760	PAX2
ENSG00000075975	4147	MKRN2
ENSG00000076053	5845	RBM7
ENSG00000076067	2652	RBMS2
ENSG00000076108	1193	BAZ2A
ENSG00000076258	7751	FMO4
ENSG00000076321	7752	KLHL20
ENSG00000076344	3267	RGS11
ENSG00000076351	5896	SLC46A1
ENSG00000076513	2614	ANKRD13A
ENSG00000076554	6305	TPD52
ENSG00000076555	3139	ACACB
ENSG00000076604	2720	TRAF4
ENSG00000076641	5459	PAG1
ENSG00000076650	5314	GPATCH1
ENSG00000076662	8150	ICAM3
ENSG00000076685	3585	NT5C2
ENSG00000076706	1023	MCAM
ENSG00000076770	6040	MBNL3
ENSG00000076928	3158	ARHGEF1
ENSG00000076944	10066	STXBP2
ENSG00000076984	2643	MAP2K7
ENSG00000077009	8781	NMRK2
ENSG00000077044	2634	DGKD
ENSG00000077063	1215	CTTNBP2
ENSG00000077092	10500	RARB
ENSG00000077097	2121	TOP2B
ENSG00000077150	10241	NFKB2
ENSG00000077157	1598	PPP1R12B
ENSG00000077238	4342	IL4R
ENSG00000077264	9052	PAK3
ENSG00000077380	138	DYNC1I2
ENSG00000077420	9588	APBB1IP
ENSG00000077458	6409	FAM76B
ENSG00000077463	5478	SIRT6
ENSG00000077498	12150	TYR
ENSG00000077514	4315	POLD3
ENSG00000077522	2087	ACTN2
ENSG00000077585	2007	GPR137B
ENSG00000077616	4278	NAALAD2
ENSG00000077684	1601	JADE1
ENSG00000077942	2790	FBLN1
ENSG00000077943	11495	ITGA8
ENSG00000078043	1847	PIAS2
ENSG00000078061	2393	ARAF
ENSG00000078070	5703	MCCC1
ENSG00000078114	3679	NEBL
ENSG00000078124	1410	ACER3
ENSG00000078142	1703	PIK3C3
ENSG00000078237	5158	TIGAR
ENSG00000078246	4887	TULP3
ENSG00000078269	222	SYNJ2
ENSG00000078304	6574	PPP2R5C
ENSG00000078328	6094	RBFOX1
ENSG00000078401	2011	EDN1
ENSG00000078403	3386	MLLT10
ENSG00000078487	7519	ZCWPW1
