gene_id	HVG_rank	gene_name
ENSG00000000003	7960	TSPAN6
ENSG00000000457	5124	SCYL3
ENSG00000000938	3921	FGR
ENSG00000000971	1652	CFH
ENSG00000001084	1859	GCLC
ENSG00000001167	2881	NFYA
ENSG00000001460	6891	STPG1
ENSG00000001461	616	NIPAL3
ENSG00000001497	3235	LAS1L
ENSG00000001561	909	ENPP4
ENSG00000001617	5014	SEMA3F
ENSG00000001629	1352	ANKIB1
ENSG00000001630	3451	CYP51A1
ENSG00000001631	5278	KRIT1
ENSG00000002016	4553	RAD52
ENSG00000002549	1717	LAP3
ENSG00000002586	499	CD99
ENSG00000002587	7996	HS3ST1
ENSG00000002745	8967	WNT16
ENSG00000002746	4071	HECW1
ENSG00000002822	3807	MAD1L1
ENSG00000002919	6853	SNX11
ENSG00000002933	2879	TMEM176A
ENSG00000003137	2880	CYP26B1
ENSG00000003393	5156	ALS2
ENSG00000003400	5487	CASP10
ENSG00000003402	1660	CFLAR
ENSG00000003436	4792	TFPI
ENSG00000003756	2454	RBM5
ENSG00000004139	4944	SARM1
ENSG00000004399	1096	PLXND1
ENSG00000004455	1674	AK2
ENSG00000004468	2079	CD38
ENSG00000004534	2948	RBM6
ENSG00000004776	3346	HSPB6
ENSG00000004777	3087	ARHGAP33
ENSG00000004799	769	PDK4
ENSG00000004846	11349	ABCB5
ENSG00000004864	2988	SLC25A13
ENSG00000004939	5670	SLC4A1
ENSG00000004948	8558	CALCR
ENSG00000005007	9320	UPF1
ENSG00000005059	10028	MCUB
ENSG00000005075	1657	POLR2J
ENSG00000005100	2374	DHX33
ENSG00000005108	3483	THSD7A
ENSG00000005156	4277	LIG3
ENSG00000005206	1605	SPPL2B
ENSG00000005243	3137	COPZ2
ENSG00000005339	1163	CREBBP
ENSG00000005379	3616	TSPOAP1
ENSG00000005421	7779	PON1
ENSG00000005436	3814	GCFC2
ENSG00000005471	8813	ABCB4
ENSG00000005483	472	KMT2E
ENSG00000005513	252	SOX8
ENSG00000005700	1019	IBTK
ENSG00000005801	6360	ZNF195
ENSG00000005812	3309	FBXL3
ENSG00000005844	9952	ITGAL
ENSG00000005882	8594	PDK2
ENSG00000005889	2335	ZFX
ENSG00000005893	167	LAMP2
ENSG00000005981	9597	ASB4
ENSG00000006007	1511	GDE1
ENSG00000006025	4532	OSBPL7
ENSG00000006042	992	TMEM98
ENSG00000006128	42	TAC1
ENSG00000006283	7684	CACNA1G
ENSG00000006451	1079	RALA
ENSG00000006459	2395	KDM7A
ENSG00000006468	1489	ETV1
ENSG00000006534	4190	ALDH3B1
ENSG00000006555	11130	TTC22
ENSG00000006576	2792	PHTF2
ENSG00000006607	2853	FARP2
ENSG00000006611	679	USH1C
ENSG00000006638	7289	TBXA2R
ENSG00000006652	8997	IFRD1
ENSG00000006659	14053	LGALS14
ENSG00000006695	9639	COX10
ENSG00000006712	4005	PAF1
ENSG00000006747	6635	SCIN
ENSG00000006756	5658	ARSD
ENSG00000006757	5271	PNPLA4
ENSG00000006788	11746	MYH13
ENSG00000006831	445	ADIPOR2
ENSG00000006837	2787	CDKL3
ENSG00000007001	10982	UPP2
ENSG00000007062	3763	PROM1
ENSG00000007080	2642	CCDC124
ENSG00000007216	10381	SLC13A2
ENSG00000007237	391	GAS7
ENSG00000007255	2042	TRAPPC6A
ENSG00000007264	2767	MATK
ENSG00000007314	9057	SCN4A
ENSG00000007341	3415	ST7L
ENSG00000007372	3788	PAX6
ENSG00000007384	3612	RHBDF1
ENSG00000007520	1901	TSR3
ENSG00000007541	3726	PIGQ
ENSG00000007866	6143	TEAD3
ENSG00000007908	10992	SELE
ENSG00000007923	3877	DNAJC11
ENSG00000007944	3316	MYLIP
ENSG00000007952	10990	NOX1
ENSG00000008083	3685	JARID2
ENSG00000008086	3467	CDKL5
ENSG00000008128	2127	CDK11A
ENSG00000008130	11018	NADK
ENSG00000008256	2126	CYTH3
ENSG00000008282	276	SYPL1
ENSG00000008283	613	CYB561
ENSG00000008294	543	SPAG9
ENSG00000008300	6519	CELSR3
ENSG00000008311	1464	AASS
ENSG00000008394	998	MGST1
ENSG00000008405	5195	CRY1
ENSG00000008438	11056	PGLYRP1
ENSG00000008441	309	NFIX
ENSG00000008513	5825	ST3GAL1
ENSG00000008516	6554	MMP25
ENSG00000008517	2633	IL32
ENSG00000008710	10037	PKD1
ENSG00000008838	13547	MED24
ENSG00000008853	4231	RHOBTB2
ENSG00000008988	247	RPS20
ENSG00000009413	2253	REV3L
ENSG00000009709	9004	PAX7
ENSG00000009724	10919	MASP2
ENSG00000009765	10713	IYD
ENSG00000009780	6600	FAM76A
ENSG00000009790	6753	TRAF3IP3
ENSG00000009830	5372	POMT2
ENSG00000009950	5142	MLXIPL
ENSG00000009954	452	BAZ1B
ENSG00000010030	9626	ETV7
ENSG00000010244	7278	ZNF207
ENSG00000010278	225	CD9
ENSG00000010282	197	HHATL
ENSG00000010292	5949	NCAPD2
ENSG00000010310	6802	GIPR
ENSG00000010318	8853	PHF7
ENSG00000010319	1939	SEMA3G
ENSG00000010327	5855	STAB1
ENSG00000010361	2338	FUZ
ENSG00000010379	4034	SLC6A13
ENSG00000010671	11616	BTK
ENSG00000010803	5987	SCMH1
ENSG00000010810	2299	FYN
ENSG00000010818	3193	HIVEP2
ENSG00000010932	9833	FMO1
ENSG00000011007	7856	ELOA
ENSG00000011009	12759	LYPLA2
ENSG00000011083	9318	SLC6A7
ENSG00000011105	6037	TSPAN9
ENSG00000011114	2979	BTBD7
ENSG00000011132	5649	APBA3
ENSG00000011198	1279	ABHD5
ENSG00000011243	4387	AKAP8L
ENSG00000011258	4673	MBTD1
ENSG00000011275	2651	RNF216
ENSG00000011304	2877	PTBP1
ENSG00000011376	5442	LARS2
ENSG00000011405	869	PIK3C2A
ENSG00000011422	7541	PLAUR
ENSG00000011426	116	ANLN
ENSG00000011451	4138	WIZ
ENSG00000011465	331	DCN
ENSG00000012048	5815	BRCA1
ENSG00000012061	5707	ERCC1
ENSG00000012124	2018	CD22
ENSG00000012171	265	SEMA3B
ENSG00000012211	11002	PRICKLE3
ENSG00000012223	7447	LTF
ENSG00000012232	3620	EXTL3
ENSG00000012660	1894	ELOVL5
ENSG00000012963	4594	UBR7
ENSG00000012983	971	MAP4K5
ENSG00000013297	55	CLDN11
ENSG00000013306	5872	SLC25A39
ENSG00000013364	2308	MVP
ENSG00000013375	2260	PGM3
ENSG00000013441	985	CLK1
ENSG00000013523	4820	ANGEL1
ENSG00000013573	5193	DDX11
ENSG00000013583	4087	HEBP1
ENSG00000013725	10925	CD6
ENSG00000014123	1438	UFL1
