Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7
ENSG00000188976,NOC2L,41,-1.1753,169,1.21681,64,-0.4740,66,-0.4458,67,-0.4172,124,0.62854,72,-0.2886
ENSG00000188290,HES4,55,-1.3165,138,0.15183,142,0.20090,91,-0.5317,192,0.73207,173,0.55039,92,-0.5235
ENSG00000187608,ISG15,45,-1.1977,102,0.11517,35,-1.5535,157,0.89196,150,0.80449,127,0.49599,49,-1.0684
ENSG00000078808,SDF4,26,-2.4190,191,0.71219,197,0.76968,142,0.18536,53,-1.3964,184,0.64492,96,-0.4547
ENSG00000127054,INTS11,54,-0.7204,107,0.40131,152,1.04332,61,-0.5268,47,-0.9347,70,-0.3061,100,0.29109
ENSG00000107404,DVL1,18,-2.3089,64,-0.3659,157,1.23700,98,0.35606,56,-0.5614,97,0.34992,66,-0.3114
ENSG00000175756,AURKAIP1,58,-1.4913,152,0.02683,293,1.21585,101,-0.6391,186,0.37138,101,-0.6471,157,0.07776
ENSG00000221978,CCNL2,24,-2.0273,41,-1.2308,297,2.43196,70,-0.4109,44,-1.1294,80,-0.1898,69,-0.4131
ENSG00000242485,MRPL20,72,-1.4846,252,0.53929,312,0.92911,269,0.65247,142,-0.4342,112,-0.8071,134,-0.5289
ENSG00000160075,SSU72,103,-1.0337,226,0.23938,245,0.38139,192,-0.0400,138,-0.5787,265,0.51985,205,0.07325
ENSG00000228594,FNDC10,25,-1.9505,157,1.08043,23,-2.0681,52,-0.8078,56,-0.6829,170,1.23514,119,0.55841
ENSG00000078369,GNB1,108,-2.0218,649,0.89224,526,0.50890,359,-0.1463,405,0.05363,422,0.12599,275,-0.5787
ENSG00000067606,PRKCZ,74,-1.2864,289,0.99927,150,-0.1538,164,-0.0066,145,-0.2118,233,0.60081,99,-0.8249
ENSG00000157916,RER1,57,-0.5046,89,0.22300,67,-0.2454,141,1.06007,73,-0.1167,96,0.36028,22,-1.9480
ENSG00000157870,PRXL2B,36,-1.4725,106,0.23117,57,-0.7800,64,-0.6005,90,-0.0442,136,0.66587,158,0.95307
ENSG00000158109,TPRG1L,62,-1.4701,328,1.33613,197,0.37603,29,-2.6205,111,-0.5813,273,0.97510,106,-0.6525
ENSG00000130764,LRRC47,40,-1.1332,71,-0.2261,104,0.40987,136,0.90039,22,-2.0458,97,0.29837,102,0.36993
ENSG00000069424,KCNAB2,35,-1.6805,173,0.93986,24,-2.2129,85,-0.3081,139,0.52787,173,0.93006,86,-0.2867
ENSG00000116254,CHD5,47,-2.0389,264,0.73262,68,-1.4813,50,-1.9485,171,-0.0273,187,0.12215,429,1.70660
ENSG00000116251,RPL22,402,-0.2476,247,-1.0258,491,0.08547,1134,1.67187,445,-0.0812,246,-1.0331,303,-0.7056
ENSG00000097021,ACOT7,88,-1.8867,921,2.28705,197,-0.6520,184,-0.7576,133,-1.2613,367,0.38451,162,-0.9583
ENSG00000162413,KLHL21,38,-0.9216,116,0.93734,128,1.13011,44,-0.7026,13,-2.5330,81,0.30057,56,-0.3073
ENSG00000171735,CAMTA1,137,-1.3792,305,-0.1102,179,-0.9664,116,-1.6255,568,0.99291,403,0.36584,570,1.00242
ENSG00000116288,PARK7,106,-1.5262,260,-0.1127,312,0.19227,333,0.30619,337,0.32570,219,-0.3968,381,0.54650
ENSG00000142599,RERE,66,-0.9799,48,-1.4719,157,0.43717,75,-0.7772,103,-0.2658,173,0.61617,228,1.13126
ENSG00000074800,ENO1,138,-2.5200,1114,0.81695,1433,1.30626,280,-1.4576,583,-0.3047,765,0.14793,593,-0.2766
ENSG00000171603,CLSTN1,151,-1.8698,794,0.82675,1019,1.31217,236,-1.1958,164,-1.7466,499,0.00797,615,0.36617
ENSG00000054523,KIF1B,178,-1.0420,488,0.62854,350,0.05002,355,0.07386,241,-0.5627,458,0.51494,310,-0.1562
ENSG00000142657,PGD,18,-2.4952,144,0.75823,111,0.28463,100,0.11543,44,-1.1891,136,0.65079,101,0.12908
ENSG00000120948,TARDBP,47,-0.8424,96,0.34174,188,1.62194,41,-1.0584,65,-0.3268,28,-1.6358,88,0.18435
ENSG00000116649,SRM,35,-1.2960,125,0.78808,3,-4.6768,113,0.59302,61,-0.4534,106,0.48434,117,0.65613
ENSG00000116661,FBXO2,103,-2.0320,669,1.02713,490,0.45200,180,-1.1826,424,0.20016,385,0.03693,386,0.04266
ENSG00000132879,FBXO44,42,-1.7768,183,0.56731,177,0.51524,46,-1.6562,81,-0.7793,220,0.90649,172,0.45917
ENSG00000011021,CLCN6,35,-2.2550,318,1.38132,93,-0.7778,21,-3.0250,103,-0.6113,327,1.43863,153,0.02877
ENSG00000116688,MFN2,48,-1.5388,294,1.57584,59,-1.2084,38,-1.8652,183,0.64259,167,0.48527,95,-0.4735
ENSG00000116786,PLEKHM2,30,-1.2384,84,0.43292,40,-0.7705,36,-0.9516,70,0.13371,71,0.14912,124,1.16056
ENSG00000159363,ATP13A2,65,-1.9510,540,1.64929,157,-0.5867,133,-0.8442,148,-0.6796,308,0.54882,220,-0.0308
ENSG00000117115,PADI2,88,-0.5240,7,-4.3171,7,-4.2061,459,2.81565,106,-0.2277,89,-0.5104,93,-0.4363
ENSG00000077549,CAPZB,87,-1.5410,227,-0.0140,311,0.53194,172,-0.4719,180,-0.3996,356,0.77460,270,0.28378
ENSG00000173436,MICOS10,113,-1.2195,281,0.25999,316,0.46131,302,0.38610,194,-0.3640,173,-0.5476,312,0.43938
ENSG00000158747,NBL1,59,-2.4235,168,-0.8327,500,1.03811,201,-0.5434,249,-0.1938,548,1.21711,236,-0.2860
