Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to6,Feature log2 fold change topic 4to6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000188976,NOC2L,248,2.07096,105,0.48301,35,-1.2216,59,-0.5430,80,0.05906,4,-4.1694,48,-0.7546
ENSG00000188290,HES4,248,0.95416,88,-0.7321,30,-2.3004,53,-1.7443,48,-1.7643,780,3.49261,0,-7.8946
ENSG00000078808,SDF4,248,1.20966,125,0.04290,66,-0.9442,66,-1.1258,132,0.15811,194,0.77561,117,-0.0623
ENSG00000127054,INTS11,248,1.85399,107,0.34860,6,-3.9941,50,-1.0193,128,0.74819,66,-0.4152,30,-1.5986
ENSG00000175756,AURKAIP1,248,0.82595,61,-1.3940,45,-1.8556,84,-1.0987,233,0.84052,167,0.16065,270,0.96891
ENSG00000242485,MRPL20,248,0.45367,198,0.08262,8,-4.6737,99,-1.1798,330,1.11509,228,0.31020,239,0.38708
ENSG00000160075,SSU72,248,0.58242,226,0.42811,95,-0.9398,125,-0.6365,214,0.37991,242,0.53799,125,-0.5166
ENSG00000228594,FNDC10,248,2.31332,192,1.77283,0,-6.3408,51,-0.6038,14,-2.4838,47,-0.6116,25,-1.5272
ENSG00000078369,GNB1,248,0.14717,306,0.48924,159,-0.5594,130,-1.0375,300,0.52311,347,0.70033,216,-0.0745
ENSG00000067606,PRKCZ,248,1.22556,404,2.18174,53,-1.2466,51,-1.5360,106,-0.2301,1,-6.9698,130,0.13188
ENSG00000162585,FAAP20,248,1.33074,73,-0.6895,32,-1.9122,61,-1.1429,227,1.40609,85,-0.4581,59,-1.0017
ENSG00000157870,PRXL2B,248,1.66997,141,0.64903,45,-1.1331,76,-0.4427,99,0.07980,80,-0.2644,8,-3.6463
ENSG00000158109,TPRG1L,248,1.54894,230,1.40086,45,-1.2468,45,-1.4580,126,0.41466,59,-0.8258,39,-1.4452
ENSG00000116254,CHD5,248,1.25100,249,1.25871,94,-0.3652,140,0.35443,81,-0.6576,0,-7.1394,11,-3.4798
ENSG00000116251,RPL22,2417,1.71728,156,-2.6520,391,-1.2956,427,-1.3726,796,-0.2225,1838,1.20169,1352,0.66445
ENSG00000097021,ACOT7,248,0.30564,1166,3.55201,173,-0.2717,106,-1.2304,19,-3.7004,0,-7.9323,114,-0.9223
ENSG00000171735,CAMTA1,248,-0.1425,474,0.92766,119,-1.2702,227,-0.3529,306,0.21858,500,1.01980,80,-1.8669
ENSG00000116288,PARK7,248,0.16892,110,-1.1040,168,-0.4540,170,-0.5318,266,0.32263,390,0.92494,277,0.34583
ENSG00000142599,RERE,248,0.91091,130,-0.1622,80,-0.9169,98,-0.7248,154,0.12221,293,1.20140,83,-0.8527
ENSG00000074800,ENO1,248,-1.2666,685,0.31610,447,-0.3648,730,0.57075,784,0.62577,331,-0.8322,162,-1.9039
ENSG00000171603,CLSTN1,248,-0.2195,341,0.29097,94,-1.7039,142,-1.2809,683,1.87615,88,-1.8028,288,0.01435
ENSG00000054523,KIF1B,248,-0.8797,740,0.87557,328,-0.4502,362,-0.3713,694,0.89934,315,-0.5131,259,-0.8151
ENSG00000116649,SRM,248,1.97226,74,-0.1469,43,-0.9942,60,-0.5781,83,0.04266,2,-5.1279,99,0.31412
ENSG00000116661,FBXO2,248,-0.2256,318,0.16723,186,-0.6781,190,-0.7843,577,1.43069,84,-1.8636,303,0.09175
ENSG00000132879,FBXO44,248,1.61693,289,1.91730,19,-2.4413,64,-0.7931,93,-0.0777,0,-6.8578,38,-1.4377
ENSG00000116688,MFN2,248,1.49338,99,-0.0837,103,-0.0187,60,-1.0144,128,0.37810,109,0.07670,44,-1.3119
ENSG00000116786,PLEKHM2,248,1.71293,97,0.07708,17,-2.4981,70,-0.5392,126,0.57558,53,-0.8756,48,-1.0032
ENSG00000065526,SPEN,248,1.67600,19,-2.3982,90,-0.0734,80,-0.3222,114,0.35121,86,-0.1550,32,-1.6574
ENSG00000159363,ATP13A2,248,1.12941,515,2.61729,116,-0.1441,86,-0.7485,65,-1.1261,0,-7.2364,1,-6.8521
ENSG00000117115,PADI2,248,0.41498,2,-6.2921,141,-0.4943,153,-0.4553,207,0.13391,24,-3.0919,636,2.14937
ENSG00000053371,AKR7A2,248,1.53342,56,-0.9272,0,-6.8876,87,-0.3211,156,0.81294,85,-0.2823,57,-0.8999
ENSG00000077549,CAPZB,248,0.51086,349,1.09645,82,-1.2191,113,-0.8958,271,0.76781,142,-0.3838,112,-0.7608
ENSG00000173436,MICOS10,248,0.26341,160,-0.4372,81,-1.4729,111,-1.1871,231,0.16567,350,0.83866,475,1.38415
