Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to6,Feature log2 fold change topic 4to6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000158747,NBL1,248,0.67810,353,1.29554,98,-0.8106,103,-0.8818,164,-0.0084,308,1.04998,0,-8.1220
ENSG00000162545,CAMK2N1,248,-0.4496,465,0.56141,265,-0.3477,356,0.15825,423,0.46213,74,-2.2754,335,0.02325
ENSG00000158828,PINK1,248,0.26458,330,0.73682,196,-0.1171,171,-0.4098,256,0.35524,128,-0.7766,181,-0.2408
ENSG00000127483,HP1BP3,248,0.58920,75,-1.2919,77,-1.2424,143,-0.3801,255,0.73287,218,0.37362,176,0.02274
ENSG00000075151,EIF4G3,248,1.34613,118,0.07253,53,-1.1730,65,-1.0134,188,1.00074,45,-1.4075,89,-0.3655
ENSG00000070831,CDC42,248,0.23413,288,0.47850,82,-1.4833,83,-1.7113,283,0.51495,409,1.08068,307,0.58565
ENSG00000125944,HNRNPR,248,1.75029,31,-1.6557,22,-2.1718,52,-1.0468,111,0.37170,159,0.92752,72,-0.3713
ENSG00000117318,ID3,248,0.14985,1,-7.2396,21,-3.5541,42,-2.8595,87,-1.5837,1692,4.72664,2,-6.6570
ENSG00000142676,RPL11,248,-1.9077,176,-2.4151,452,-1.0089,553,-0.8524,943,0.15771,2307,1.71051,1920,1.36027
ENSG00000057757,PITHD1,248,0.85092,392,1.68517,87,-0.8355,65,-1.4947,138,-0.1320,148,-0.0050,139,-0.1032
ENSG00000001461,NIPAL3,248,2.02394,124,0.73269,13,-2.6819,60,-0.5486,49,-0.8090,0,-6.5653,130,0.81202
ENSG00000133226,SRRM1,2482,3.71663,33,-3.7995,142,-1.6570,221,-1.1825,236,-0.9705,224,-0.9669,161,-1.4656
ENSG00000169504,CLIC4,248,1.26759,0,-7.2086,39,-1.6826,81,-0.7134,120,0.03620,376,2.07985,28,-2.1833
ENSG00000117614,SYF2,248,1.15792,36,-1.8860,68,-0.9345,89,-0.6565,213,1.04725,155,0.35600,47,-1.4806
ENSG00000117640,MTFR1L,248,1.94712,128,0.71974,4,-4.3170,60,-0.6104,104,0.43064,34,-1.3455,22,-2.0166
ENSG00000117632,STMN1,248,-0.7395,547,0.51695,42,-3.3504,90,-2.5514,272,-0.6592,7,-5.9148,2325,3.65343
ENSG00000142669,SH3BGRL3,248,-0.1524,266,-0.0465,294,0.11496,86,-2.0313,300,0.17186,664,1.52801,403,0.63628
ENSG00000198830,HMGN2,248,0.77759,13,-3.6311,43,-1.9627,66,-1.5493,254,0.95638,236,0.68963,306,1.14317
ENSG00000117713,ARID1A,248,1.58253,80,-0.3312,17,-2.6225,69,-0.6836,114,0.25979,142,0.58520,67,-0.6164
ENSG00000090273,NUDC,248,0.24793,248,0.24251,42,-2.4391,103,-1.3262,447,1.53037,203,-0.0775,184,-0.2286
ENSG00000186501,TMEM222,248,1.24680,180,0.67983,43,-1.5461,96,-0.4139,151,0.44259,19,-2.7125,107,-0.1690
ENSG00000158195,WASF2,248,1.01893,0,-9.6278,24,-2.5844,110,-0.3991,171,0.43937,171,0.38690,233,0.90862
ENSG00000126709,IFI6,248,-0.0315,127,-1.0655,79,-1.7880,89,-1.8634,444,1.10928,903,2.31346,22,-3.6409
ENSG00000117758,STX12,248,1.76637,163,0.98663,44,-1.0924,75,-0.3776,74,-0.3537,0,-6.7476,75,-0.2955
ENSG00000126698,DNAJC8,248,0.71527,180,0.18237,31,-2.4577,121,-0.5521,229,0.66718,187,0.24729,140,-0.2204
ENSG00000130770,ATP5IF1,248,0.15182,261,0.23440,54,-2.1743,100,-1.4735,316,0.63438,399,0.94825,363,0.78496
ENSG00000198492,YTHDF2,248,1.66241,97,0.03686,108,0.20602,54,-1.0576,99,0.06544,50,-0.9998,89,-0.1134
ENSG00000162512,SDC3,248,0.31344,92,-1.2300,134,-0.6675,230,0.24811,369,1.17337,141,-0.5850,2,-6.4687
ENSG00000134644,PUM1,248,0.76285,295,1.06017,78,-1.0743,103,-0.7884,235,0.77571,115,-0.4871,48,-1.7882
ENSG00000121766,ZCCHC17,248,0.36219,382,1.09650,110,-0.9190,192,-0.0710,115,-0.9361,125,-0.7230,316,0.76850
ENSG00000121769,FABP3,248,1.79952,266,1.94136,4,-4.3025,36,-1.6379,38,-1.3884,106,0.28562,79,-0.1874
ENSG00000162517,PEF1,248,1.56189,164,0.81067,60,-0.8040,19,-2.7992,81,-0.3630,176,0.93950,134,0.47335
ENSG00000121753,ADGRB2,248,1.44157,177,0.83392,57,-0.9840,95,-0.2342,131,0.37391,0,-6.9906,39,-1.5300
ENSG00000184007,PTP4A2,248,0.01293,163,-0.6515,134,-0.9523,198,-0.4328,244,-0.0170,170,-0.5787,667,1.73857
ENSG00000121774,KHDRBS1,248,1.26520,62,-0.9984,57,-1.1135,52,-1.4782,256,1.61613,81,-0.5855,60,-1.0309
ENSG00000025800,KPNA6,248,1.05157,262,1.14757,161,0.31513,120,-0.1915,135,0.03345,0,-7.2927,21,-2.7272
ENSG00000084623,EIF3I,248,1.11516,98,-0.4127,6,-4.3514,51,-1.6310,201,0.87030,267,1.24657,102,-0.3593
ENSG00000175130,MARCKSL1,248,-1.0285,108,-2.2738,155,-1.7333,150,-2.0475,387,-0.3818,188,-1.4452,2888,3.75152
ENSG00000162521,RBBP4,248,1.39701,93,-0.2508,46,-1.3164,75,-0.7165,180,0.96555,41,-1.4981,79,-0.5017
ENSG00000134684,YARS,248,1.95635,130,0.75767,48,-0.8427,46,-1.0741,96,0.29004,35,-1.2943,29,-1.5876
ENSG00000116560,SFPQ,248,0.56504,128,-0.4978,61,-1.6296,108,-0.9248,316,1.16236,285,0.79680,81,-1.1893
ENSG00000142687,KIAA0319L,248,1.69602,150,0.78001,19,-2.4207,95,0.02771,115,0.37682,4,-4.4893,0,-7.3147
ENSG00000020129,NCDN,248,0.73708,494,2.02093,85,-0.9674,116,-0.6144,146,-0.1494,70,-1.2632,51,-1.7353
ENSG00000126067,PSMB2,248,1.23358,240,1.17014,1,-6.8296,62,-1.2194,136,0.23843,172,0.58945,78,-0.6666
ENSG00000116871,MAP7D1,248,0.32044,298,0.62206,119,-0.8420,136,-0.7744,140,-0.6515,311,0.69373,375,1.01887
ENSG00000054118,THRAP3,248,1.05600,130,-0.0268,101,-0.4215,84,-0.8620,231,1.10606,73,-0.9122,54,-1.3788
ENSG00000197982,C1orf122,248,-0.2355,161,-0.9047,174,-0.7921,188,-0.8108,302,0.08699,100,-1.6169,1028,2.31676
ENSG00000116954,RRAGC,248,1.77692,187,1.23918,2,-5.5300,57,-0.8581,92,0.04426,65,-0.4991,40,-1.2382
ENSG00000174574,AKIRIN1,248,1.55613,145,0.59516,76,-0.4334,41,-1.6243,133,0.51923,18,-2.5572,130,0.42258
ENSG00000168653,NDUFS5,248,-0.1325,223,-0.3049,22,-3.7117,161,-0.9701,322,0.32355,458,0.87734,621,1.42448
ENSG00000127603,MACF1,248,0.10573,170,-0.4971,186,-0.3562,210,-0.2069,330,0.66614,260,0.18203,171,-0.4834
ENSG00000090621,PABPC4,248,1.41614,87,-0.3509,42,-1.4381,101,-0.1332,152,0.63903,19,-2.5692,78,-0.5140
ENSG00000116983,HPCAL4,248,1.27481,296,1.60646,52,-1.2567,91,-0.4946,148,0.43931,0,-7.1206,4,-4.9114
ENSG00000131236,CAP1,248,0.90109,274,1.07127,95,-0.6474,86,-0.9697,148,0.03931,136,-0.1001,137,-0.0856
ENSG00000131238,PPT1,248,1.09714,65,-1.0728,34,-2.0240,76,-1.0028,271,1.52895,149,0.22575,27,-2.3784
ENSG00000084070,SMAP2,248,1.79823,172,1.10475,34,-1.4483,53,-0.9642,79,-0.2002,47,-0.9899,69,-0.4035
ENSG00000065978,YBX1,248,0.34794,29,-2.8920,372,1.03592,71,-1.8427,175,-0.2371,588,1.89797,203,0.02001
ENSG00000117394,SLC2A1,248,-0.3175,31,-3.4283,69,-2.2466,49,-3.0460,61,-2.5730,2349,4.93567,68,-2.2614
ENSG00000066322,ELOVL1,248,0.87617,2,-6.0014,10,-3.9612,26,-2.8981,109,-0.5123,69,-1.1574,838,3.58149
ENSG00000142949,PTPRF,248,0.35936,256,0.40743,90,-1.2300,142,-0.6553,421,1.54904,14,-3.8781,115,-0.8600
ENSG00000117410,ATP6V0B,248,-0.2584,1008,2.24030,80,-1.9762,167,-1.0456,284,-0.0511,190,-0.6711,327,0.17929
ENSG00000117411,B4GALT2,248,1.90907,62,-0.4743,54,-0.6840,65,-0.5110,110,0.49491,4,-4.4968,59,-0.5573
ENSG00000117419,ERI3,248,0.16208,779,2.25493,71,-1.7614,179,-0.4421,206,-0.1530,54,-2.1589,142,-0.7127
ENSG00000187147,RNF220,248,1.42770,170,0.75308,68,-0.7184,44,-1.6014,126,0.28316,15,-2.9660,192,0.96130
ENSG00000142937,RPS8,248,-2.6078,307,-2.2941,767,-0.9262,610,-1.4978,1427,0.04742,4776,2.23579,3115,1.37812
ENSG00000117450,PRDX1,248,-1.5150,725,0.14046,331,-1.0845,559,-0.3431,1153,1.08719,463,-0.5700,895,0.48554
ENSG00000132780,NASP,248,1.60026,0,-9.1717,36,-1.5289,65,-0.7815,126,0.46832,113,0.22913,137,0.53853
ENSG00000085998,POMGNT1,248,1.53944,100,-0.0206,44,-1.2859,68,-0.7657,61,-0.8610,45,-1.2643,251,1.56224
ENSG00000173660,UQCRH,248,0.01874,211,-0.2434,21,-3.6280,177,-0.6349,343,0.63067,298,0.31598,460,1.05209
ENSG00000123472,ATPAF1,248,1.40024,124,0.19912,16,-2.8801,77,-0.6648,161,0.73477,53,-1.1265,99,-0.1643
ENSG00000159658,EFCAB14,248,1.60905,31,-1.7468,24,-2.1127,43,-1.4855,132,0.55809,124,0.38177,158,0.79389
ENSG00000162368,CMPK1,248,1.35318,244,1.32081,1,-6.3964,79,-0.6705,95,-0.2933,61,-0.9486,139,0.35339
ENSG00000162374,ELAVL4,248,0.51326,883,3.08863,221,0.31703,126,-0.6940,28,-2.9655,26,-2.8848,0,-8.2668
ENSG00000123091,RNF11,248,0.66110,282,0.87777,48,-1.8935,122,-0.6000,240,0.69959,91,-0.9301,146,-0.2093
ENSG00000085832,EPS15,248,1.52256,128,0.35681,0,-7.1669,70,-0.7224,149,0.70717,24,-2.1599,115,0.18853
ENSG00000078618,NRDC,248,1.47782,141,0.48642,42,-1.4096,59,-1.0617,134,0.45671,117,0.17993,53,-1.0407
ENSG00000169213,RAB3B,248,-0.2432,1135,2.53287,316,0.13985,368,0.52157,46,-2.9052,0,-8.4253,0,-8.8471
ENSG00000134744,TUT4,248,2.08494,10,-3.0708,2,-4.8864,71,-0.1579,122,0.87848,32,-1.3689,22,-1.8861
ENSG00000162378,ZYG11B,248,1.15163,294,1.46128,68,-0.9417,74,-0.9858,147,0.29685,85,-0.6125,40,-1.7276
ENSG00000116171,SCP2,248,0.86630,120,-0.3262,117,-0.3608,42,-2.1699,164,0.19243,358,1.52647,175,0.28028
ENSG00000116209,TMEM59,2639,3.35109,130,-2.0440,177,-1.5813,76,-3.1481,352,-0.5953,303,-0.7728,782,0.75019
ENSG00000157216,SSBP3,248,1.15772,52,-1.3325,6,-4.4657,49,-1.6667,340,2.24967,46,-1.5122,68,-0.9463
ENSG00000116133,DHCR24,248,-0.3984,760,1.48733,99,-1.7978,108,-1.9136,61,-2.6351,5,-6.1139,1636,3.23536
ENSG00000162407,PLPP3,248,0.73322,18,-3.2182,84,-0.9928,188,0.35711,238,0.77060,63,-1.4229,137,-0.2354
ENSG00000177606,JUN,248,-0.0356,0,-8.4802,116,-1.2072,38,-3.1674,440,1.08172,1129,2.84391,52,-2.3964
ENSG00000162599,NFIA,248,-0.9073,44,-3.4727,101,-2.2526,437,-0.0367,1037,1.80392,377,-0.2632,293,-0.6552
ENSG00000162434,JAK1,248,1.36780,126,0.20606,91,-0.3155,74,-0.7811,150,0.56390,75,-0.6070,49,-1.2668
ENSG00000162433,AK4,248,1.59003,123,0.35060,171,0.91241,88,-0.2252,67,-0.6774,6,-4.0707,41,-1.3322
ENSG00000116675,DNAJC6,248,0.44633,616,2.11901,150,-0.3671,77,-1.6213,172,-0.1665,15,-3.7279,285,0.67764
ENSG00000142864,SERBP1,248,0.52467,63,-1.6014,43,-2.1775,91,-1.2554,261,0.70713,592,2.13689,58,-1.7215
ENSG00000116729,WLS,248,0.61237,2,-6.2230,2,-6.1695,119,-0.7030,467,2.26184,167,-0.0365,0,-8.1815
ENSG00000116754,SRSF11,248,0.06349,138,-0.8583,171,-0.5271,306,0.54127,297,0.40744,195,-0.3239,124,-1.0190
ENSG00000132485,ZRANB2,248,0.65130,141,-0.2708,96,-0.8648,96,-1.0368,247,0.74299,249,0.65261,155,-0.1139
ENSG00000172260,NEGR1,248,0.72990,488,1.98377,95,-0.8096,182,0.27523,80,-1.1542,32,-2.4255,26,-2.7085
ENSG00000077254,USP33,248,2.20324,80,0.15098,24,-1.7136,44,-0.9355,109,0.75790,25,-1.6296,2,-4.7654
ENSG00000180488,MIGA1,248,1.42978,245,1.40739,62,-0.8551,80,-0.5651,36,-1.7712,1,-6.1489,204,1.07521
ENSG00000137941,TTLL7,248,0.79213,235,0.69625,56,-1.5413,134,-0.2764,132,-0.2705,85,-0.9284,248,0.78947
ENSG00000142875,PRKACB,248,0.69220,392,1.50504,76,-1.1778,79,-1.3196,168,0.05893,53,-1.7081,286,0.93473
ENSG00000153904,DDAH1,248,0.32520,214,0.08493,89,-1.2686,179,-0.2495,442,1.62133,48,-2.1933,9,-4.5104
ENSG00000183291,SELENOF,248,1.18422,64,-1.0069,64,-0.9999,23,-2.8048,262,1.56628,144,0.25275,115,-0.1110
ENSG00000143013,LMO4,248,0.90329,77,-0.9747,10,-3.8644,125,-0.2834,240,0.99674,222,0.70964,28,-2.4569
ENSG00000122406,RPL5,2323,1.69469,168,-2.5053,383,-1.2847,383,-1.5097,1035,0.30344,1558,0.95633,1130,0.41087
ENSG00000067334,DNTTIP2,248,1.75491,135,0.64892,29,-1.7267,99,0.18677,54,-0.8714,75,-0.3031,14,-2.7997
ENSG00000117519,CNN3,248,0.50456,23,-3.1094,49,-2.0031,140,-0.5211,379,1.50320,237,0.42765,90,-1.0956
ENSG00000170989,S1PR1,248,1.52447,8,-3.7588,50,-1.1139,96,-0.1312,67,-0.7331,296,1.86547,0,-7.4430
ENSG00000134186,PRPF38B,248,1.63558,17,-2.5762,53,-0.9354,98,0.02470,72,-0.4986,200,1.22794,9,-3.5030
ENSG00000197780,TAF13,248,1.48577,128,0.32939,85,-0.3277,84,-0.4336,84,-0.3746,103,-0.0236,60,-0.8580
ENSG00000031698,SARS,248,0.25760,450,1.27776,74,-1.6208,160,-0.5448,220,0.07139,275,0.42427,150,-0.5443
ENSG00000134243,SORT1,248,0.53877,86,-1.1346,40,-2.2471,25,-3.2651,215,0.34142,344,1.09861,563,2.04611
ENSG00000134202,GSTM3,248,0.52302,247,0.51487,28,-2.7880,119,-0.7986,297,0.97065,258,0.58942,71,-1.4250
ENSG00000168710,AHCYL1,248,-1.1048,127,-2.1085,344,-0.6069,752,0.90637,963,1.29593,89,-2.6208,71,-2.9467
ENSG00000197106,SLC6A17,248,1.80972,297,2.18297,42,-1.1483,31,-1.8684,60,-0.6682,79,-0.1837,5,-4.0844
ENSG00000116396,KCNC4,248,1.84122,240,1.77214,17,-2.4154,48,-1.1105,110,0.43271,0,-6.6938,0,-7.2093
ENSG00000134248,LAMTOR5,248,0.96100,174,0.36225,62,-1.2404,84,-0.9490,138,-0.0143,164,0.26415,216,0.71750
ENSG00000116459,ATP5PB,248,1.29087,116,0.00767,26,-2.2715,92,-0.4530,88,-0.4854,180,0.72728,137,0.26756
ENSG00000116473,RAP1A,248,1.64754,52,-0.9410,73,-0.4298,51,-1.1768,106,0.18256,102,0.10251,119,0.34824
ENSG00000171385,KCND3,248,1.25262,121,0.03565,59,-1.0856,109,-0.1716,185,0.86150,47,-1.4185,12,-3.3489
ENSG00000155366,RHOC,248,0.08808,6,-5.2715,179,-0.4292,185,-0.4756,399,1.04004,506,1.30234,59,-2.1120
ENSG00000163349,HIPK1,248,0.78350,35,-2.2540,51,-1.6975,59,-1.7104,501,2.87812,29,-2.5128,1,-6.7433
ENSG00000009307,CSDE1,248,-0.6042,559,0.70142,332,-0.1504,207,-1.0651,539,0.74676,465,0.39431,346,-0.0837
ENSG00000163399,ATP1A1,251,-0.1426,1155,2.70414,204,-0.4661,128,-1.3921,206,-0.4995,160,-0.8457,179,-0.6699
ENSG00000198162,MAN1A2,248,0.34440,81,-1.3979,239,0.28071,228,0.26534,269,0.54793,167,-0.2926,52,-2.0477
ENSG00000092621,PHGDH,248,0.44375,39,-2.3956,51,-1.9827,234,0.46575,343,1.18719,43,-2.2422,119,-0.7204
ENSG00000265241,RBM8A,248,1.50307,118,0.21711,26,-2.0602,59,-1.0574,117,0.22984,145,0.55032,85,-0.3005
ENSG00000265972,TXNIP,248,0.31883,15,-3.8418,30,-2.8904,24,-3.4972,487,1.86396,639,2.03275,61,-1.8318
ENSG00000178104,PDE4DIP,248,0.67334,122,-0.4715,159,-0.0543,91,-1.1115,372,1.71447,10,-4.1249,92,-0.9024
ENSG00000159164,SV2A,248,0.81703,443,1.89160,130,-0.2416,83,-1.1198,183,0.34754,75,-1.0817,3,-5.4446
ENSG00000143401,ANP32E,248,1.22006,84,-0.5660,112,-0.1234,103,-0.3170,139,0.26587,134,0.17079,40,-1.6692
ENSG00000266472,MRPS21,248,0.86676,127,-0.2379,104,-0.5498,49,-1.9318,216,0.73438,222,0.67434,191,0.42144
ENSG00000143384,MCL1,248,0.88508,53,-1.5362,50,-1.6467,61,-1.5591,103,-0.6054,649,2.84822,67,-1.2047
ENSG00000143420,ENSA,248,0.84951,127,-0.2453,66,-1.2418,81,-1.1310,266,1.15114,270,0.99670,0,-7.8661
ENSG00000213190,MLLT11,248,0.54298,777,2.79535,62,-1.6156,94,-1.1782,159,-0.2056,81,-1.2189,13,-3.9201
ENSG00000159352,PSMD4,248,0.91940,163,0.20859,78,-0.9320,83,-1.0168,228,0.90608,106,-0.4675,128,-0.1796
ENSG00000143393,PI4KB,248,1.21066,206,0.88298,26,-2.3093,61,-1.2575,225,1.23530,66,-0.9436,32,-2.0383
ENSG00000159377,PSMB4,2664,4.05460,103,-2.1046,54,-3.0496,74,-2.9031,258,-0.7970,420,0.03970,124,-1.8239
ENSG00000197747,S100A10,248,0.43777,104,-0.9335,80,-1.3232,34,-2.8855,295,0.84901,672,2.30031,100,-0.9987
ENSG00000197956,S100A6,248,-1.6470,344,-1.1579,222,-1.8168,243,-1.9364,612,-0.3019,3105,2.74884,1386,1.08632
ENSG00000188643,S100A16,248,1.69147,18,-2.5033,15,-2.7035,71,-0.5363,174,1.23106,95,0.02057,0,-7.3160
ENSG00000189171,S100A13,248,-0.3235,67,-2.3045,132,-1.2923,248,-0.4059,340,0.19824,429,0.56134,747,1.54536
ENSG00000160678,S100A1,248,-0.6704,45,-3.2132,166,-1.2830,316,-0.3725,231,-0.8583,4,-6.4437,1937,3.21655
ENSG00000143621,ILF2,248,1.72149,138,0.65893,91,-0.0276,54,-1.0063,102,0.18370,0,-6.7443,80,-0.2346
ENSG00000143543,JTB,248,1.26686,49,-1.3324,27,-2.2185,40,-1.8915,191,0.93943,177,0.67227,171,0.61484
ENSG00000143545,RAB13,248,1.53387,9,-3.5203,20,-2.4499,66,-0.8346,150,0.74360,151,0.65166,91,-0.1746
ENSG00000177954,RPS27,248,-2.8667,405,-2.1496,1210,-0.4970,1230,-0.5814,1705,0.05022,4834,1.88842,2784,0.86024
ENSG00000143549,TPM3,248,0.45553,357,1.07554,114,-0.7719,106,-1.0621,158,-0.3038,416,1.35428,107,-0.8781
ENSG00000143612,C1orf43,248,1.30011,69,-0.7975,1,-6.1330,30,-2.3428,111,-0.0668,237,1.21399,287,1.56941
ENSG00000143575,HAX1,248,1.77874,48,-0.9738,13,-2.9032,62,-0.7189,115,0.46554,29,-1.7152,144,0.77613
ENSG00000160714,UBE2Q1,248,1.76041,271,1.93735,8,-3.5957,57,-0.8851,84,-0.1290,1,-5.7292,38,-1.3277
ENSG00000160710,ADAR,248,0.46294,283,0.68042,64,-1.6304,91,-1.3231,316,1.03212,244,0.43013,124,-0.6378
ENSG00000143603,KCNN3,248,0.85940,69,-1.1845,90,-0.7753,208,0.77050,212,0.68722,13,-3.6481,9,-4.0762
ENSG00000163344,PMVK,248,1.22771,133,0.17059,53,-1.2501,108,-0.2092,107,-0.1977,55,-1.1918,171,0.57410
ENSG00000163346,PBXIP1,248,-0.2009,43,-2.8182,160,-0.8781,305,0.16499,525,1.24493,378,0.47959,24,-3.6824
ENSG00000163463,KRTCAP2,248,0.43882,22,-3.2257,131,-0.5749,45,-2.4713,204,0.12854,537,1.82510,416,1.33630
ENSG00000177628,GBA,248,1.00949,396,1.88790,2,-5.8097,88,-0.8299,218,0.91704,11,-3.7443,0,-7.3668
ENSG00000116521,SCAMP3,248,1.70549,151,0.80092,71,-0.4358,41,-1.4671,77,-0.3375,154,0.83082,29,-1.7709
ENSG00000160752,FDPS,248,0.97542,288,1.23783,97,-0.5582,63,-1.4364,154,0.19713,80,-0.8543,174,0.36973
ENSG00000116539,ASH1L,248,0.91398,108,-0.4416,89,-0.7407,138,-0.0771,178,0.40002,150,0.07045,68,-1.1563
ENSG00000132718,SYT11,248,-0.3002,483,0.78782,200,-0.6381,244,-0.4108,348,0.26869,104,-1.6225,539,0.97814
ENSG00000160803,UBQLN4,248,2.10381,89,0.23904,15,-2.3948,60,-0.4858,102,0.54040,12,-2.7371,17,-2.2523
ENSG00000160781,PAQR6,248,-1.4521,60,-3.5288,342,-0.9693,426,-0.7725,683,0.12595,104,-2.7349,2974,2.97590
ENSG00000198952,SMG5,248,2.20254,102,0.54326,21,-1.8501,58,-0.4673,69,-0.1117,0,-6.4445,48,-0.6396
ENSG00000163468,CCT3,248,1.59745,104,0.08437,94,-0.0648,41,-1.5732,155,0.87053,14,-2.9493,92,-0.1126
ENSG00000125462,C1orf61,248,-1.6561,268,-1.5443,675,-0.1256,1246,1.28940,863,0.30821,382,-1.0077,266,-1.5537
ENSG00000163382,NAXE,248,1.20508,98,-0.3386,13,-3.3430,35,-2.1808,250,1.47484,145,0.28879,108,-0.1925
ENSG00000132692,BCAN,248,0.54203,39,-2.2974,100,-0.8914,278,1.03231,219,0.37864,24,-2.9822,99,-0.9092
ENSG00000143321,HDGF,248,0.93105,23,-2.7275,65,-1.1952,31,-2.5724,378,2.18335,198,0.54616,33,-2.1837
ENSG00000162706,CADM3,248,0.32793,626,2.00316,50,-2.1140,130,-0.8398,325,0.91267,42,-2.3967,21,-3.3812
