gene	module
RPS19	20
RPS2	20
RPS28	20
RPS3	20
RPS5	20
RPS9	20
RPSA	20
STEAP1B	20
ZNF90	20
ZNHIT1	20
ARPP19	21
ATP6V1F	21
CFL1	21
CNBP	21
EIF4G2	21
GHITM	21
H2AFZ	21
MRFAP1	21
MYL12B	21
NDUFB7	21
PARK7	21
PCBP1	21
PEBP1	21
PFDN2	21
PPIA	21
RAC1	21
RAN	21
RNF187	21
SKP1	21
SLC25A3	21
TUBB	21
UBB	21
AKR1C3	22
ATP6V0B	22
AURKAIP1	22
CD63	22
COX5B	22
CUTA	22
DRAP1	22
ELOB	22
EPHX1	22
ETFB	22
FTL	22
GCLM	22
GPX4	22
GSTP1	22
NQO1	22
PGD	22
PIR	22
SLC25A5	22
TKT	22
TSPAN31	22
UNC50	22
ARF4	23
BEX2	23
BEX3	23
BEX4	23
CHCHD2	23
DDX24	23
EDF1	23
EIF1B	23
FAM96B	23
GUK1	23
MRPS21	23
NDUFAB1	23
NUDCD2	23
PSMA7	23
RPL10	23
RPL41	23
SEC61B	23
STRAP	23
TCEAL2	23
ARHGEF4	24
ARRDC4	24
ATOH8	24
BICD1	24
GRIK4	24
KCNN2	24
OSGIN2	24
PRPSAP1	24
RGS9	24
RIPK2	24
SAMD11	24
SLC16A1	24
SLC16A9	24
SLC38A1	24
SMAD9	24
TRAF2	24
USH1C	24
CCDC59	25
OOEP	25
RPL12	25
RPL23	25
RPL27A	25
RPL34	25
RPL35	25
RPL36	25
RPL37	25
RPL37A	25
RPL38	25
RPL4	25
RPLP2	25
RPS20	25
RPS24	25
RPS29	25
ANAPC11	26
EID1	26
HDDC2	26
HINT1	26
HIST1H4C	26
KRT10	26
MRPL27	26
MRPL57	26
RNF7	26
RPL23A	26
RPS19BP1	26
RPS3A	26
SMDT1	26
SPCS1	26
DHFR	27
MT-ATP6	27
MT-CO1	27
MT-CO2	27
MT-CO3	27
MT-CYB	27
MT-ND1	27
MT-ND2	27
MT-ND3	27
MT-ND4	27
MT-ND4L	27
MT-ND5	27
MTRNR2L12	27
MTRNR2L8	27
MRPL20	28
MT1E	28
MT1F	28
MT1G	28
MT1M	28
MT1X	28
MT2A	28
MT3	28
NDUFC1	28
PHPT1	28
RNF19B	28
RPL22	28
UQCRQ	28
COPRS	29
EEF1A1	29
EEF2	29
EMP3	29
LGALS1	29
PEA15	29
S100A6	29
SH3BGRL3	29
UBA52	29
VIM	29
ANKDD1A	30
ATP13A5	30
CNPY1	30
GUCA1B	30
LEPR	30
MGAM	30
MTERF1	30
OARD1	30
SYCP2L	30
ZNF248	30
ADIRF	31
DBI	31
FABP7	31
IFITM3	31
NDUFA2	31
OST4	31
POLR2J	31
S100A1	31
S100B	31
UFC1	31
CCT7	32
DAD1	32
GABARAPL2	32
ISCU	32
LAMTOR5	32
RPL15	32
SRP14	32
SRP9	32
COX5A	33
HCFC1R1	33
NDUFA8	33
NDUFB2	33
NDUFB9	33
NDUFS6	33
SERF2	33
YBX1	33
CD99	34
DDX3Y	34
KDM5D	34
NLGN4Y	34
RPS4Y1	34
USP9Y	34
UTY	34
ZFY	34
PFDN5	35
RPL10A	35
RPL24	35
RPL5	35
RPS12	35
RPS6	35
APOO	36
BRK1	36
C9orf16	36
RPL14	36
RPS14	36
CHMP2A	37
FKBP2	37
MECOM	37
NACA	37
TPT1	37
