gene	module
TRMT13	1
TRNT1	1
TSHR	1
UQCRFS1	1
VAC14	1
WDR12	1
XPA	1
XRRA1	1
ZNF213	1
ZNF302	1
ZNF324	1
ZNF404	1
ZNF490	1
ZNF565	1
ZNF677	1
ZNF684	1
ZNF7	1
ZNF862	1
A2ML1	2
AAAS	2
ABCA7	2
ABHD17A	2
ACAA1	2
ACADVL	2
ACOT11	2
AGRN	2
AIFM3	2
AKT1	2
AMPD2	2
ANAPC2	2
APBB3	2
ARAF	2
ARFGAP1	2
ARHGEF1	2
ASB6	2
ATN1	2
ATP13A1	2
AUP1	2
B4GALNT4	2
BAG6	2
BRICD5	2
C2orf72	2
CACNB1	2
CCDC88B	2
CCNL2	2
CDC34	2
CDK5RAP3	2
CDK9	2
CHDH	2
CHST12	2
CIRBP	2
CLCN7	2
CNOT3	2
COL16A1	2
COL5A3	2
COL7A1	2
COQ4	2
CRELD1	2
CRTC2	2
CTBP1	2
CXXC1	2
D2HGDH	2
DCAF15	2
DDX17	2
DHX58	2
DUSP12	2
DVL1	2
DVL2	2
DVL3	2
E2F4	2
EFEMP2	2
EIF2B5	2
ENTPD2	2
EPOR	2
EPS8L2	2
FADS3	2
FBXL12	2
FGFR3	2
FSTL3	2
GGA1	2
GLI4	2
GPS1	2
GRAMD1A	2
GSDMD	2
GUSB	2
HDAC6	2
HEXDC	2
HGS	2
HSF4	2
IL11RA	2
INPP5E	2
INPPL1	2
INTS1	2
INTS11	2
IZUMO4	2
KAT2A	2
KIAA0895L	2
LAMA5	2
LAS1L	2
LCAT	2
LCN12	2
LCNL1	2
LFNG	2
LPIN3	2
LRCH4	2
LRP3	2
LRRC75B	2
LUC7L2	2
MAN1B1	2
MAN2C1	2
MCRS1	2
MIB2	2
MLLT6	2
MROH7-TTC4	2
MRPS5	2
MST1	2
MTA1	2
NFATC4	2
NPEPL1	2
NPIPA1	2
NRBP2	2
NSMF	2
NSUN5	2
OPLAH	2
PABPN1	2
PAN2	2
PAQR6	2
PCBP4	2
PCSK4	2
PDE4DIP	2
PHKG2	2
PIDD1	2
PLEC	2
PLIN4	2
PLXNA3	2
PLXNB1	2
PNCK	2
PNPLA6	2
POFUT2	2
POGK	2
PRR14	2
PYROXD2	2
QTRT1	2
RANBP3L	2
RAPGEF3	2
RBCK1	2
RBM3	2
RFNG	2
RGL2	2
RGS11	2
RHOT2	2
RHPN1	2
RNPEPL1	2
ROBO3	2
SBF1	2
SCPEP1	2
SCRIB	2
SCRN2	2
SDR39U1	2
SHC2	2
SIRT7	2
SIX5	2
SLC39A11	2
SLC4A2	2
SNRNP70	2
SPATA20	2
SPPL2B	2
STX10	2
SUPT5H	2
SUPT7L	2
SYMPK	2
TAF1C	2
TBC1D17	2
TMEM259	2
TNS2	2
TOP3B	2
TRABD	2
TRPV1	2
TSEN54	2
TTLL3	2
TUBGCP6	2
U2AF2	2
UAP1L1	2
UCKL1	2
ULK3	2
VPS9D1	2
WDR6	2
WDR90	2
ZFYVE19	2
ZMYM3	2
ZNF692	2
ZSWIM8	2
ABCC1	3
ABCC9	3
ABCD4	3
ACTN1	3
ACTR3B	3
AFAP1	3
AKAP12	3
ANO6	3
ANXA2	3
APLNR	3
APOL2	3
APOL6	3
ARHGAP39	3
ARHGEF11	3
ARHGEF3	3
ARID5A	3
ATP11A	3
BARD1	3
C1R	3
C1RL	3
C1S	3
CA13	3
CARM1	3
CCNL1	3
CD44	3
CDC7	3
CHST3	3
CLIC4	3
CLIP1	3
CNTNAP1	3
CP	3
CPNE8	3
CRIM1	3
CRISPLD1	3
CTNNAL1	3
DAB2IP	3
DDX58	3
DGKD	3
DNMBP	3
DOT1L	3
DUSP22	3
EFNA1	3
ELK3	3
ELL2	3
EMP1	3
EOGT	3
EPAS1	3
ETHE1	3
ETV6	3
FAM189A2	3
FAM20C	3
FN1	3
FNDC4	3
FOSL2	3
FRMPD3	3
FZD4	3
GADD45A	3
GALNT10	3
GALNT2	3
GBF1	3
GBP2	3
GFAP	3
GLIS3	3
GNA14	3
HELB	3
IFI16	3
IL1R1	3
IL1RAP	3
INPP5F	3
ITGB4	3
ITPKC	3
KDM7A	3
LGMN	3
LIMK2	3
LMO2	3
LOXL2	3
LYN	3
LYST	3
MAN1C1	3
MAP2K3	3
MAP3K14	3
MAPKAPK2	3
MAPRE2	3
MIDN	3
MLXIP	3
MSN	3
MVP	3
MYH9	3
NAMPT	3
NAV2	3
NDRG1	3
NOCT	3
NOD1	3
NRCAM	3
NRIP1	3
NUCB1	3
OSMR	3
OSTF1	3
PDLIM4	3
PDPN	3
PEX5	3
PGM2L1	3
PHC2	3
PIGA	3
PKIG	3
PKNOX2	3
PLCD3	3
