Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8
ENSG00000153187,HNRNPU,296,-0.1120,316,0.01056,241,-0.4897,278,-0.1964,422,0.60081
ENSG00000143653,SCCPDH,199,0.19742,136,-0.4532,59,-1.8957,1,-6.7656,393,1.84806
ENSG00000143727,ACP1,220,1.38635,101,-0.2466,40,-1.8473,108,-0.1407,107,-0.1794
ENSG00000182551,ADI1,75,-0.9903,76,-0.8688,41,-1.9673,261,1.21467,239,1.33170
ENSG00000171863,RPS7,602,-0.1012,711,0.18773,208,-1.9015,1796,1.93374,478,-0.5257
ENSG00000232044,SILC1,67,-0.8258,96,-0.1662,56,-1.1069,17,-2.7951,244,2.01867
ENSG00000151692,RNF144A,62,-0.8498,80,-0.3534,28,-2.1087,67,-0.6463,235,2.09797
ENSG00000115738,ID2,30,-1.5987,111,0.63155,174,1.98048,2,-5.1106,45,-0.9470
ENSG00000134313,KIDINS220,224,0.55569,68,-1.4342,126,-0.5572,37,-2.3449,279,1.05334
ENSG00000143797,MBOAT2,90,-0.1179,84,-0.2128,94,-0.0433,64,-0.6556,126,0.54835
ENSG00000119185,ITGB1BP1,251,0.99427,156,-0.0090,75,-1.2859,168,0.11442,139,-0.2205
ENSG00000134308,YWHAQ,786,0.84480,283,-0.9827,355,-0.7096,223,-1.3466,704,0.59971
ENSG00000115756,HPCAL1,470,1.97940,60,-1.9177,136,-0.7555,300,0.63385,40,-2.6843
ENSG00000169006,NTSR2,25,-1.9099,24,-1.8171,218,2.84809,2,-5.1380,52,-0.7064
ENSG00000134324,LPIN1,145,0.91875,17,-2.6045,121,0.51597,42,-1.2459,79,-0.3188
ENSG00000079785,DDX1,268,1.67938,100,-0.4198,101,-0.4577,57,-1.2777,70,-1.0798
ENSG00000163032,VSNL1,1123,3.68493,179,-1.0457,154,-1.4044,1,-7.6534,16,-4.7932
ENSG00000068697,LAPTM4A,172,-0.5739,76,-1.7590,180,-0.4896,863,2.57199,117,-1.2172
ENSG00000055917,PUM2,80,-0.6340,124,0.15635,65,-0.9897,129,0.21596,181,0.99880
ENSG00000143878,RHOB,301,-1.0899,362,-0.6862,401,-0.5967,764,0.53778,958,1.18239
ENSG00000115128,SF3B6,119,-0.0484,114,-0.1076,69,-1.0145,159,0.45082,163,0.59049
ENSG00000084710,EFR3B,191,1.36880,62,-0.8156,83,-0.3988,44,-1.3355,85,-0.3532
ENSG00000138101,DTNB,118,0.30005,55,-0.9589,53,-1.1405,1,-5.9405,206,1.62480
ENSG00000084731,KIF3C,495,2.65950,25,-3.0031,153,-0.3297,8,-4.5365,64,-1.7758
ENSG00000084733,RAB10,160,-0.4332,146,-0.5241,127,-0.8371,144,-0.5549,378,1.38724
ENSG00000084754,HADHA,72,-1.1045,85,-0.7357,146,0.15804,193,0.60981,181,0.60676
ENSG00000138029,HADHB,145,-1.3083,68,-2.3064,466,0.88378,493,0.81857,332,0.15894
ENSG00000157851,DPYSL5,109,-0.8770,97,-0.9675,52,-2.0826,3,-5.8219,502,2.82690
ENSG00000084764,MAPRE3,399,1.85210,34,-2.5550,155,-0.2977,88,-1.1414,113,-0.8510
ENSG00000228474,OST4,181,-0.6390,396,0.74509,137,-1.1062,490,1.13316,264,0.05977
ENSG00000115234,SNX17,166,0.87806,86,-0.3846,49,-1.4031,144,0.46336,107,-0.0388
ENSG00000243147,MRPL33,231,0.26269,289,0.60746,55,-2.1724,347,0.93905,203,0.01324
ENSG00000213639,PPP1CB,411,0.75484,157,-0.9488,261,-0.1683,49,-2.6868,366,0.50168
ENSG00000115295,CLIP4,149,0.56659,146,0.43465,78,-0.6689,15,-3.0129,143,0.47719
ENSG00000119801,YPEL5,305,1.36072,73,-1.2756,101,-0.8789,28,-2.6783,203,0.41569
ENSG00000162961,DPY30,182,1.36000,63,-0.7178,42,-1.4722,43,-1.3047,117,0.34235
ENSG00000119820,YIPF4,167,-0.5541,47,-2.4096,321,0.72051,366,0.82919,210,-0.1433
ENSG00000152689,RASGRP3,5,-4.6363,71,-0.6924,31,-2.1019,200,1.05315,265,2.19910
ENSG00000171055,FEZ2,64,-1.1568,98,-0.3702,72,-0.9574,349,1.93317,134,0.15683
ENSG00000115808,STRN,34,-1.8904,110,0.09241,42,-1.5732,115,0.16252,228,1.85551
ENSG00000055332,EIF2AK2,125,0.33526,77,-0.4959,82,-0.4533,162,0.73715,94,-0.2087
ENSG00000218739,CEBPZOS,136,1.05260,87,0.08409,82,-0.0255,1,-5.6488,69,-0.3250
